"","label","student_first","student_last","address_1","address_2","city","state","zip","student_id","home_lang"
"1","Parent/Guardian of Will Allen","Will","Allen","700 Upton Ave N","","Minneapolis","MN","55411",1041,"English"
"2","Lashaina & Josie Vargas","Shantel","Vargas","2364 Pleasant Ave","","Minneapolis","MN","55409",1043,"English"
"3","Parent/Guardian of Shane Ridley","Shane","Ridley","6153 94th St W","","Bloomington","MN","55431",1078,"Spanish"
"4","Parent/Guardian of Judith Ortiz","Judith","Ortiz","4288 Bloomington Ave S","1","Minneapolis","MN","55404",1081,"Spanish"
"5","Parent/Guardian of Jade Nino","Jade","Nino","7943 21st Ave N","","Minneapolis","MN","55411",1085,"Spanish"
"6","Kaycee Kawamura","Arin","Kawamura","9233 10th Ave S","","Minneapolis","MN","55417",1102,"English"
"7","Katlyn Stephens","Jaelene","Stephens","3727 Clinton Ave","1","Minneapolis","MN","55408",1119,"English"
"8","Paige Mattise Lorenzen","Kalynne","Mattise Lorenzen","9444 2nd Ave S","","Minneapolis","MN","55408",1145,"Spanish"
"9","Parent/Guardian of James Carr","James","Carr","8183 5th Ave S","","Minneapolis","MN","55408",1161,"English"
"10","Parent/Guardian of Luis Ruiz-Garcia","Luis","Ruiz-Garcia","4323 Chicago Ave","","Minneapolis","MN","55417",1180,"English"
"11","Isaiah Choi","Derek","Choi","9148 Penn Ave N","","Minneapolis","MN","55412",1181,"English"
"12","Mckenzie & Matthew Lee","Emily","Lee","497 29th Ave S","","Minneapolis","MN","55406",1214,"English"
"13","Parent/Guardian of Victoria Johnson","Victoria","Johnson","8673 Irving Ave N","402","Minneapolis","MN","55405",1216,"English"
"14","Parent/Guardian of Tyler Hart","Tyler","Hart","4824 Garfield Ave S","","Minneapolis","MN","55419",1223,"Somali"
"15","Hillary Patterson","Emily","Patterson","2789 Emerson Ave S","","Minneapolis","MN","55403",1226,"English"
"16","Parent/Guardian of Juan Mueller","Juan","Mueller","1026 Aldrich Ave N","","Minneapolis","MN","55411",1277,"English"
"17","Kiana Beilke","Spencer","Beilke","4593 10th Ave S","","Minneapolis","MN","55417",1280,"Spanish"
"18","Parent/Guardian of Nicolette Belay","Nicolette","Belay","7290 Pierce St Ne","","Minneapolis","MN","55413",1282,"English"
"19","Parent/Guardian of Cheyanne Shonts","Cheyanne","Shonts","2088 11th Ave S","","Minneapolis","MN","55417",1317,"English"
"20","Joshua Long","Tiffany","Long","7805 47th Ave S","","Minneapolis","MN","55406",1347,"English"
"21","Parent/Guardian of Christian Shorb","Christian","Shorb","2249 Standish Ave","","Minneapolis","MN","55417",1377,"Spanish"
"22","Matthew Brown","Keondra","Brown","8623 Girard Ave N","","Minneapolis","MN","55412",1380,"English"
"23","Jesus Lyons","Christine","Lyons","5033 Portland Ave","","Minneapolis","MN","55407",1400,"English"
"24","Parent/Guardian of Chelsea Cruz-Kargar","Chelsea","Cruz-Kargar","9165 10th Ave S","","Minneapolis","MN","55407",1444,"English"
"25","Parent/Guardian of Britten Linhares","Britten","Linhares","2666 Morgan Ave N","","Minneapolis","MN","55411",1454,"English"
"26","Parent/Guardian of Tenzin Maka","Tenzin","Maka","8449 Park Ave","","Minneapolis","MN","55417",1487,"English"
"27","Johnathan Carmeli","Mariah","Carmeli","7545 Plymouth Ave N","","Minneapolis","MN","55411",1541,"Hmong"
"28","Alea Paz","Moises","Paz","4619 Pleasant Ave","","Minneapolis","MN","55408",1584,"English"
"29","Ryan Lejeune","Kayla","Lejeune","2709 Cedar Ave South","","Minneapolis","MN","55407",1617,"English"
"30","Parent/Guardian of Emily Summerfield","Emily","Summerfield","9235 Washburn Ave S","","Minneapolis","MN","55410",1645,"English"
"31","Jack Spivak","Devin","Spivak","9990 Groveland Ave","308","Minneapolis","MN","55403",1654,"English"
"32","Parent/Guardian of Lisa Evans","Lisa","Evans","5496 55th St E","","Inver Grove Heights","MN","55077",1697,"English"
"33","Aaron McGuire","Victoria","McGuire","8325 Ogema Pl","","Minneapolis","MN","55404",1699,"English"
"34","Parent/Guardian of Alan Cunningham","Alan","Cunningham","7415 James Ave North","","Minneapolis","MN","55411",1721,"English"
"35","Kalyn Mundo","Alyssa","Mundo","7600 29th Ave South","","Minneapolis","MN","55417",1749,"English"
"36","Noumouke Higgs","David","Higgs","4798 Oliver Ave N","","Minneapolis","MN","55411",1761,"English"
"37","Parent/Guardian of Madisen Cunningham","Madisen","Cunningham","2889 Berry St","345","Saint Paul","MN","55114",1771,"Spanish"
"38","Clayton & Diondre Clemons","Shavonnie","Clemons","9075 James Ave S","","Minneapolis","MN","55419",1773,"Spanish"
"39","Kathryn Porter","Evan","Porter","2286 Broadway Ave W","204","Minneapolis","MN","55411",1775,"Somali"
"40","Parent/Guardian of Holly Henson","Holly","Henson","4858 Portland Ave","","Minneapolis","MN","55407",1778,"Spanish"
"41","Rebecca Acker","Joshua","Acker","4907 4th St S","206","Minneapolis","MN","55401",1789,"English"
"42","Parent/Guardian of Rebecca Devenport","Rebecca","Devenport","1772 Russell Ave S","","Richfield","MN","55423",1794,"Spanish"
"43","Parent/Guardian of Kevin Deleon","Kevin","Deleon","7902 Oliver Ave N","","Minneapolis","MN","55412",1795,"English"
"44","Duane Williams","Damien","Williams","6215 Grand Ave S","","Minneapolis","MN","55408",1803,"English"
"45","Luis Blaha","Timothy","Blaha","9184 Dupont Ave S","","Minneapolis","MN","55419",1807,"English"
"46","Christopher Johnson","Keziah","Johnson","8775 E Minnehaha Pkwy","","Minneapolis","MN","55417",1808,"Somali"
"47","Cassidy & Tianna Schievelbein","Elizabeth","Schievelbein","763 Thomas Ave North","","Minneapolis","MN","55411",1810,"English"
"48","Justin Kern","Brendan","Kern","3853 Garfield St Ne","","Minneapolis","MN","55418",1827,"English"
"49","Cherokee Martinez","Dillon","Martinez","1252 13th Ave S","","Minneapolis","MN","55407",1829,"English"
"50","Kaleb Mickelson","Mitchelle","Mickelson","9152 Pillsbury Ave","","Minneapolis","MN","55408",1849,"English"
"51","Iysia Mai","Eulalia","Mai","1567 6th Ave Se","","Minneapolis","MN","55414",1907,"Spanish"
"52","Renae & Floyd Banks","Debra","Banks","8790 Chicago Ave","202","Minneapolis","MN","55407",1955,"English"
"53","Parent/Guardian of Syed Pedersen","Syed","Pedersen","8517 Golden Valley Rd","","Minneapolis","MN","55411",1957,"English"
"54","Audrey Reynolds","Harlan","Reynolds","5770 61st St W","","Minneapolis","MN","55419",1966,"English"
